id,addressLine1,addressLine2,addressLine3,addressLine4,pincode,mobileNumber,toCustomer_id
d290f1ee-6c54-4b01-90e6-d701748f0901,123 Main St,Apt 4B,,New York,10001,1234567890,d290f1ee-6c54-4b01-90e6-d701748f0851
d290f1ee-6c54-4b01-90e6-d701748f0902,456 Maple Ave,Suite 101,,San Francisco,94103,1234567891,d290f1ee-6c54-4b01-90e6-d701748f0852
d290f1ee-6c54-4b01-90e6-d701748f0903,789 Elm St,,,Chicago,60601,1234567892,d290f1ee-6c54-4b01-90e6-d701748f0853
d290f1ee-6c54-4b01-90e6-d701748f0904,101 Oak St,,Unit 5B,Los Angeles,90001,1234567893,d290f1ee-6c54-4b01-90e6-d701748f0854
d290f1ee-6c54-4b01-90e6-d701748f0905,202 Pine St,,,Boston,02101,1234567894,d290f1ee-6c54-4b01-90e6-d701748f0855
d290f1ee-6c54-4b01-90e6-d701748f0906,303 Cedar St,,,Houston,77001,1234567895,d290f1ee-6c54-4b01-90e6-d701748f0856
d290f1ee-6c54-4b01-90e6-d701748f0907,404 Birch St,,,Phoenix,85001,1234567896,d290f1ee-6c54-4b01-90e6-d701748f0857
d290f1ee-6c54-4b01-90e6-d701748f0908,505 Walnut St,,Apt 9A,Philadelphia,19101,1234567897,d290f1ee-6c54-4b01-90e6-d701748f0858
d290f1ee-6c54-4b01-90e6-d701748f0909,606 Spruce St,,,Seattle,98101,1234567898,d290f1ee-6c54-4b01-90e6-d701748f0859
d290f1ee-6c54-4b01-90e6-d701748f0910,707 Fir St,,Suite 202,Miami,33101,1234567899,d290f1ee-6c54-4b01-90e6-d701748f0860
